sale_year,barcode,item_name,category,revenue,profit
2025,4800361410816,BearBrand Swak 33g,POWDERED MILK DRINK,42936.0,5009.2
2024,4800575140370,Alaska evaporada 370ml,CANNED MILK,43168.0,4990.88
2023,4801981116270,Sprite 1.5L,DRINK,35431.0,4968.5
2025,4800088288347,Big Shot Hotdog Classic King 1K,FROZEN FOODS,60738.0,4966.0
2024,9555513203017,Jersey Evaporada 370ml,CANNED MILK,38560.0,4940.5
2024,4800361420143,Magic Sarap 150g,SEASONINGS,60099.0,4921.15
2024,8998666001719,Kopiko Brown Promo Twin 53g,COFFEE,20385.0,4905.0
2025,054028367911,Yakult 5s,DRINK,65880.0,4880.0
2025,2829127499,Oil 1 lipid,OIL,43524.0,4836.0
2024,4801981116270,Sprite 1.5L,DRINK,45630.0,4766.55
2025,6899867821,Mighty Green,CIGARETTES,22316.5,4739.5
2023,8998666001719,Kopiko Brown Promo Twin 53g,COFFEE,18615.0,4715.8
2023,4800086045973,SELECTA OOH BOOM WATERMELON SLICE 60ML,ICE CREAM,15652.0,4707.64
2022,4801981127177,Coke Swakto,DRINK,19701.0,4702.77
2022,4800086040527,Selecta 3N1 CHC Keso Ube 1L,ICE CREAM,15381.0,4693.12
2024,4800220587253,Tanduay Rhum Light 375ml,LIQUOR,34824.0,4671.45
2024,4801981116171,Royal 1.5L,DRINK,44567.0,4658.0
2024,4800888600806,Knorr Sinigang Sampalok 44g,SEASONINGS,32736.0,4646.4
2022,2931360278,Egg Large,Egg Large,26967.75,4627.15
2025,4800220587154,Tanduay Rhum Light 750ml,LIQUOR,52000.0,4576.0
2025,4801981127177,Coke Swakto,DRINK,19786.0,4566.0
2025,4805358373471,Daily Quezo 440g,CONDIMENTS,37961.0,4561.7
2024,2829127499,Oil 1 lipid,OIL,57415.0,4559.0
2022,,Pilit 1KL,RICE,20701.0,4537.0
2025,4806501320410,Panda Ballpen,TBA,8070.0,4519.2
2023,4261373,Chesterfield Stick,CIGARETTES,34219.0,4475.2
2022,4800086035790,Selecta 3n1 CHC Mango Ube 1L,ICE CREAM,14678.0,4472.28
2024,4800049720220,Natures Distilled 1L,DRINK,12878.0,4450.0
2022,4800086134325,CORNETTO CHOCOLATE 110ML,ICE CREAM,22457.0,4435.23
2025,48041812,Mighty Maxcool 20s,CIGARETTES,23405.0,4424.3
2023,,Wet Water 500mlx24,DRINK,16660.0,4420.0
2025,4801981116072,Coke 1.5L,DRINK,75072.0,4416.0
2025,4800361420143,Magic Sarap 150g,SEASONINGS,53889.0,4412.65
2024,8853002310415,Dutchmill Mango 90ml,DRINK,4771.0,4404.0
2024,4806504172437,Plastic Gilas Tiny,PLASTIC PRODUCTS,15375.0,4397.25
2023,4800361061322,Nestle Cream 250ml,MILK,47481.0,4388.5
2025,4800361413480,MILO 24g,POWDERED MILK DRINK,31190.0,4366.6
2023,4800361415347,Nescafe Orig Twinpack 56g,COFFEE,22157.0,4348.39
2023,4800049720244,Natures Distilled 10L,DRINK,34039.0,4282.0
2023,4800086134325,CORNETTO CHOCOLATE 110ML,ICE CREAM,33930.0,4241.25
2022,4803925061141,Gatorade Blue Bolt 500ml,DRINK,23787.0,4234.65
2025,4806504172438,Gilas Plastic Mini,PLASTIC PRODUCTS,15380.0,4229.5
2022,4800086034670,CORNETTO VANILLA 110ML,ICE CREAM,22044.0,4227.01
2024,8662025,Cobra Berry Astig (red) 300ml,DRINK,25707.0,4226.96
2022,4800086043306,CORNETTO POOH COOKIES & DREAM 110ML,ICE CREAM,20749.0,4171.5
2022,12334321123,Egg  XL Taala 1 Tray,EGG,34018.0,4088.0
2025,8997035600027,Pocari Sweat 500ml,DRINK,29998.0,4075.2
2023,4800220587253,Tanduay Rhum Light 375ml,LIQUOR,24000.0,4073.2
2023,4805358206045,Magnolia Buttercup 200g,BAKING ESSENTIALS,33683.0,4067.1
2022,4803925350054,Gatorade Blue Bolt 350ml,DRINK,16780.0,4048.02
2023,12345,C2 solo apple,DRINK,21612.0,4005.6
2022,6203280743,Wash Sugar 1/2KL,BAKING ESSENTIALS,28314.0,3994.0
2023,,NESCAFE Sticks 2g 1dozen,COFFEE,21512.0,3992.96
2024,4800361410892,BearBrand 300g,POWDERED MILK DRINK,29571.0,3968.35
2022,4800049720121,Natures Purified 1L,DRINK,10020.0,3967.8
2025,748485401492,Birch Tree 33g,POWDERED MILK DRINK,20718.0,3960.0
2025,4800361388252,Nescafe Stick 1.9gx48 ,COFFEE,35341.0,3959.0
2023,4806502727423,Neubake wheaten bread 560g,BREAD,44465.0,3935.7
2022,,BANANA CHIPS,BISCUITS,19993.0,3925.0
2024,748485401492,Birch Tree 33g,POWDERED MILK DRINK,32172.0,3918.75
2025,4800361339568,nescafe stick,clasic,15632.0,3908.0
2025,4800086050656,Disc Cornetto apple crumble 115ml,ICE CREAM,4000.0,3875.0
2025,4800220587253,Tanduay Rhum Light 375ml,LIQUOR,33330.0,3863.25
2024,8359282943,Yakult pc,DRINK,21197.0,3854.0
2023,3691936875,Chesterfield Red Stick,CIGARETTES,30767.0,3829.9
2023,4800049720190,Wet water 500ml,DRINK,7573.0,3800.5
2025,4800888602732,Knorr Cubes Beef singles 10g,SEASONINGS,20419.0,3792.1
2023,8410028900091,Alfonso Light 1L,LIQUOR,30201.0,3790.5
2024,8998666001702,Kopiko Black Promo Twin 50g,COFFEE,15405.0,3776.0
2023,6178462312,Gummy Repack,TBA,12520.0,3756.0
2023,4803925061141,Gatorade Blue Bolt 500ml,DRINK,24054.0,3737.52
2024,4800374032135,Mighty Bond 1g,TBA,9300.0,3720.0
2023,4803925350054,Gatorade Blue Bolt 350ml,DRINK,19950.0,3718.95
